시군구코드,지정년도,지정번호,신청일자,지정일자,취소일자,불가일자,업소명,소재지도로명,소재지지번,허가(신고)번호,업태명,주된음식,영업장면적(㎡),행정동명,급수시설구분
3200000,,,20090313,,,,채쉐프 초장집,서울특별시 관악구 신림로 371, (신림동),서울특별시 관악구 신림동  1431번지 2호  ,3200000-101-2003-00512,회집,,81.82,신림동,상수도전용
3200000,2007,358 ,20070723,20070711,20171106,,황토방,서울특별시 관악구 관악로12길 6, 2층 (봉천동),서울특별시 관악구 봉천동  1597번지 7호  ,3200000-101-1997-05894,한식,보쌈정식,96.16,낙성대동,상수도전용
3200000,2018,93  ,20130704,20181109,20191018,,채쉐프 초장집,서울특별시 관악구 신림로 371, (신림동),서울특별시 관악구 신림동  1431번지 2호  ,3200000-101-2003-00512,회집,,81.82,신림동,상수도전용
3200000,2001,0173,20011230,20011231,20041214,,명가쭈꾸미,서울특별시 관악구 신림로18가길 32, (신림동),서울특별시 관악구 신림동  110번지 83호  ,3200000-101-2000-10310,한식,장어정식,72.16,서림동,상수도전용
3200000,2019,0009,20190830,20191111,,,미가면옥,서울특별시 관악구 관악로 246, 2층 (봉천동),서울특별시 관악구 봉천동  37번지 86호  ,3200000-101-2019-00073,한식,,72.60,행운동,
3200000,2018,0027,20050614,20181109,20191111,,조마루뼈다귀,서울특별시 관악구 신림로 152, 1층 (신림동),서울특별시 관악구 신림동  112번지 37호  ,3200000-101-2001-06557,한식,,247.00,서림동,상수도전용
3200000,2007,404 ,20070720,20070727,20111024,,투썸플레이스 구로디지털단지역점,서울특별시 관악구 시흥대로 554, 1층 (신림동),서울특별시 관악구 신림동  1655번지 21호  ,3200000-101-2006-00395,까페,손두부,250.00,조원동,상수도전용
3200000,2018,57  ,20160920,20181109,,,구영회 참치앤초밥,서울특별시 관악구 신원로 34, (신림동,지상2층),서울특별시 관악구 신림동  1637번지 26호  지상2층,3200000-101-2011-00307,한식,,120.00,서원동,상수도전용
3200000,2018,125 ,20080710,20181109,,,시골명가,서울특별시 관악구 남현1길 40, 2층 (남현동),서울특별시 관악구 남현동  1062번지 1호  ,3200000-101-2005-00483,한식,,155.33,남현동,상수도전용
3200000,2005,0276,20050614,20050630,20070725,,삼수갑산,서울특별시 관악구 남현1길 38-9, 2,3층 (남현동),서울특별시 관악구 남현동  1062번지 2호  ,3200000-101-2003-00184,한식,갈비탕,322.00,남현동,
3200000,2001,0027,20010630,20010701,20020207,,남원추어탕,서울특별시 관악구 쑥고개로 135, 1층 (봉천동),서울특별시 관악구 봉천동  1569번지 1호  ,3200000-101-1997-05900,한식,추어탕,111.59,청룡동,상수도전용
3200000,2005,0027,20050614,20050630,20080725,,남원추어탕,서울특별시 관악구 쑥고개로 135, 1층 (봉천동),서울특별시 관악구 봉천동  1569번지 1호  ,3200000-101-1997-05900,한식,추어탕,111.59,청룡동,상수도전용
3200000,,,20080710,,,,초원생오리,서울특별시 관악구 봉천로25길 5, (봉천동),서울특별시 관악구 봉천동  957번지 31호  ,3200000-101-2001-10795,한식,,16.56,은천동,상수도전용
3200000,2007,352 ,20070725,20070727,20080725,,나주곰탕,서울특별시 관악구 신림로28길 30, 1층 (신림동),서울특별시 관악구 신림동  110번지 54호  ,3200000-101-1986-07251,한식,곰탕,88.24,서림동,상수도전용
3200000,2018,0026,20080710,20181109,,,나주곰탕,서울특별시 관악구 신림로28길 30, 1층 (신림동),서울특별시 관악구 신림동  110번지 54호  ,3200000-101-1986-07251,한식,,88.24,서림동,상수도전용
3200000,2006,0385,20060510,20060711,20151201,,대원갈비,서울특별시 관악구 신림로67길 5, 1층 (신림동),서울특별시 관악구 신림동  1432번지 68호  ,3200000-101-2003-00253,한식,족발,165.02,신림동,상수도전용
3200000,,,20170920,,,,대원갈비,서울특별시 관악구 신림로67길 5, 1층 (신림동),서울특별시 관악구 신림동  1432번지 68호  ,3200000-101-2003-00253,한식,,165.02,신림동,상수도전용
3200000,2019,0007,20190830,20191111,,,두둑한샤브칼국수,서울특별시 관악구 신림로64길 17, 1층 (신림동),서울특별시 관악구 신림동  1421번지 45호  지상1층,3200000-101-1993-00529,한식,,158.30,신림동,상수도전용
3200000,2019,0005,20190830,20191111,,,신안바다장어,서울특별시 관악구 봉천로 385, 1층 (봉천동),서울특별시 관악구 봉천동  925번지 27호  ,3200000-101-2014-00128,회집,,60.00,은천동,상수도전용
3200000,2019,0011,20190830,20191111,,,춘천 날으는닭갈비,서울특별시 관악구 조원로 4, (신림동),서울특별시 관악구 신림동  1655번지 1호  ,3200000-101-2000-10453,한식,,79.40,조원동,상수도전용
3200000,2019,0013,20190830,20191111,,,양평서울해장국큰아들집 서울대입구역점,서울특별시 관악구 남부순환로 1797, 1층 (봉천동),서울특별시 관악구 봉천동  874번지 6호  ,3200000-101-2017-00075,한식,,97.91,중앙동,상수도전용
3200000,2018,0012,20180831,20181109,,,명태랑족발이랑,서울특별시 관악구 신원로 6, 1층 (신림동),서울특별시 관악구 신림동  1635번지 76호  ,3200000-101-2015-00462,한식,,34.00,신원동,상수도전용
3200000,2018,31  ,20050614,20181109,,,산야로,서울특별시 관악구 관악로 111, (봉천동,지상1층),서울특별시 관악구 봉천동  1592번지 13호  지상1층,3200000-101-2002-00003,한식,,183.60,청룡동,상수도전용
3200000,2002,0222,20021018,20021231,20070727,,백상갈비,서울특별시 관악구 낙성대로 18, (봉천동),서울특별시 관악구 봉천동  1625번지 31호  ,3200000-101-1986-00318,한식,돼지갈비,70.70,낙성대동,상수도전용
3200000,2018,68  ,20160920,20181109,20191111,,할매순대국 난곡점,서울특별시 관악구 난우길 20, (신림동),서울특별시 관악구 신림동  608번지 30호  ,3200000-101-2003-00505,한식,,60.48,미성동,
3200000,2006,0386,20060510,20060711,20180604,,훈담,서울특별시 관악구 봉천로7길 25, 1-2층 (봉천동),서울특별시 관악구 봉천동  736번지 1호  ,3200000-101-1997-05884,한식,,127.75,보라매동,상수도전용
3200000,2010,0514,20100510,20100510,20160630,,남원추어탕,서울특별시 관악구 봉천로 441, 지상1층 (봉천동),서울특별시 관악구 봉천동  885번지 33호  지상1층,3200000-101-2010-00005,한식,,124.00,중앙동,
3200000,2001,0117,20010630,20010701,20021119,,킹크랩대게한상,서울특별시 관악구 남부순환로 1685, 1층 (봉천동),서울특별시 관악구 봉천동  949번지 20호  지상1층,3200000-101-1992-00257,한식,고기부페,230.46,은천동,상수도전용
3200000,2005,0117,20050614,20050630,20060711,,킹크랩대게한상,서울특별시 관악구 남부순환로 1685, 1층 (봉천동),서울특별시 관악구 봉천동  949번지 20호  지상1층,3200000-101-1992-00257,한식,고기부페,230.46,은천동,상수도전용
3200000,,,20050614,,20111212,,엔조 파스타&피자,서울특별시 관악구 관악로 154, (봉천동),서울특별시 관악구 봉천동  1598번지 1호  지상1층,3200000-101-1982-00545,경양식,,60.50,낙성대동,상수도전용
3200000,2001,0119,20010630,20010701,20050630,,장항복아구전문,서울특별시 관악구 봉천로 186, 1~2층 (신림동),서울특별시 관악구 신림동  1446번지 2호  ,3200000-101-1997-05906,한식,복해장국,148.88,신림동,상수도전용
3200000,2019,0008,20190830,20191111,,,삼다돈가(봉천점),서울특별시 관악구 관악로 246, 3층 (봉천동),서울특별시 관악구 봉천동  37번지 86호  ,3200000-101-2017-00297,식육(숯불구이),,167.27,행운동,
